Year,HB,Location,SIMD,AppointmentType,Attendances,DNAAppointments,DNARate
2019,S08000015,A101H,3,All,21,5,19.23076923
2019,S08000015,A101H,4,All,42,0,0
2019,S08000015,A101H,3,All,26,0,0
2019,S08000015,A101H,4,All,37,5,11.9047619
2020,S08000015,A101H,1,All,0,0,0
2020,S08000015,A101H,3,All,22,0,0
2020,S08000015,A101H,4,All,48,5,9.433962264
2020,S08000015,A101H,3,All,5,0,0
2020,S08000015,A101H,4,All,25,0,0
2020,S08000015,A101H,3,All,10,0,0
2020,S08000015,A101H,4,All,25,5,16.66666667
2020,S08000015,A101H,1,All,0,0,0
2020,S08000015,A101H,3,All,11,0,0
2020,S08000015,A101H,4,All,22,0,0
2021,S08000015,A101H,3,All,22,0,0
2021,S08000015,A101H,4,All,46,0,0
2021,S08000015,A101H,3,All,19,0,0
2021,S08000015,A101H,4,All,31,5,13.88888889
2021,S08000015,A101H,,All,0,0,0
2021,S08000015,A101H,3,All,19,5,20.83333333
2021,S08000015,A101H,4,All,37,5,11.9047619
2021,S08000015,A101H,1,All,0,0,0
2021,S08000015,A101H,3,All,16,5,23.80952381
2021,S08000015,A101H,4,All,25,5,16.66666667
2022,S08000015,A101H,3,All,12,0,0
2022,S08000015,A101H,4,All,28,5,15.15151515
2022,S08000015,A101H,3,All,26,0,0
2022,S08000015,A101H,4,All,31,5,13.88888889
2022,S08000015,A101H,3,All,18,0,0
2022,S08000015,A101H,4,All,37,10,21.27659574
2022,S08000015,A101H,3,All,13,5,27.77777778
2022,S08000015,A101H,4,All,22,5,18.51851852
2022,S08000015,A101H,1,All,0,0,0
2023,S08000015,A101H,3,All,13,0,0
2023,S08000015,A101H,4,All,19,5,20.83333333
2023,S08000015,A101H,3,All,13,5,27.77777778
2023,S08000015,A101H,4,All,21,0,0
2023,S08000015,A101H,3,All,13,0,0
2023,S08000015,A101H,4,All,21,5,19.23076923
2023,S08000015,A101H,3,All,17,0,0
2023,S08000015,A101H,4,All,28,5,15.15151515
2024,S08000015,A101H,3,All,17,5,22.72727273
2024,S08000015,A101H,4,All,20,0,0
2024,S08000015,A101H,1,All,0,0,0
2024,S08000015,A101H,3,All,31,0,0
2024,S08000015,A101H,4,All,39,0,0
2024,S08000015,A101H,3,All,26,0,0
2024,S08000015,A101H,4,All,32,0,0
2019,S08000015,A101H,3,New,5,0,0
2019,S08000015,A101H,4,New,14,0,0
2019,S08000015,A101H,3,New,5,0,0
2019,S08000015,A101H,4,New,10,0,0
2020,S08000015,A101H,3,New,5,0,0
2020,S08000015,A101H,4,New,10,0,0
2020,S08000015,A101H,3,New,0,0,0
2020,S08000015,A101H,4,New,0,0,0
2020,S08000015,A101H,3,New,0,0,0
2020,S08000015,A101H,4,New,0,0,0
2020,S08000015,A101H,1,New,0,0,0
2020,S08000015,A101H,3,New,5,0,0
2020,S08000015,A101H,4,New,0,0,0
2021,S08000015,A101H,3,New,5,0,0
2021,S08000015,A101H,4,New,5,0,0
2021,S08000015,A101H,3,New,0,0,0
2021,S08000015,A101H,4,New,5,0,0
2021,S08000015,A101H,3,New,5,5,50
2021,S08000015,A101H,4,New,0,0,0
2021,S08000015,A101H,3,New,5,0,0
2021,S08000015,A101H,4,New,5,0,0
2022,S08000015,A101H,3,New,5,0,0
2022,S08000015,A101H,4,New,5,0,0
2022,S08000015,A101H,3,New,5,0,0
2022,S08000015,A101H,4,New,5,0,0
2022,S08000015,A101H,3,New,5,0,0
2022,S08000015,A101H,4,New,10,0,0
2022,S08000015,A101H,3,New,5,0,0
2022,S08000015,A101H,4,New,0,0,0
2023,S08000015,A101H,3,New,5,0,0
2023,S08000015,A101H,4,New,0,0,0
2023,S08000015,A101H,3,New,5,0,0
2023,S08000015,A101H,4,New,5,0,0
2023,S08000015,A101H,3,New,5,0,0
2023,S08000015,A101H,4,New,5,0,0
2023,S08000015,A101H,3,New,5,0,0
2023,S08000015,A101H,4,New,10,0,0
2024,S08000015,A101H,3,New,5,5,50
2024,S08000015,A101H,4,New,5,0,0
2024,S08000015,A101H,1,New,0,0,0
2024,S08000015,A101H,3,New,14,0,0
2024,S08000015,A101H,4,New,15,0,0
2024,S08000015,A101H,3,New,11,0,0
2024,S08000015,A101H,4,New,17,0,0
2019,S08000015,A101H,3,Return,15,5,25
2019,S08000015,A101H,4,Return,28,0,0
2019,S08000015,A101H,3,Return,20,0,0
2019,S08000015,A101H,4,Return,27,5,15.625
2020,S08000015,A101H,1,Return,0,0,0
2020,S08000015,A101H,3,Return,15,0,0
2020,S08000015,A101H,4,Return,40,5,11.11111111
2020,S08000015,A101H,3,Return,5,0,0
2020,S08000015,A101H,4,Return,25,0,0
2020,S08000015,A101H,3,Return,5,0,0
2020,S08000015,A101H,4,Return,25,5,16.66666667
2020,S08000015,A101H,3,Return,10,0,0
2020,S08000015,A101H,4,Return,20,0,0
2021,S08000015,A101H,3,Return,20,0,0
2021,S08000015,A101H,4,Return,40,0,0
2021,S08000015,A101H,3,Return,15,0,0
2021,S08000015,A101H,4,Return,25,5,16.66666667
2021,S08000015,A101H,,Return,0,0,0
2021,S08000015,A101H,3,Return,15,0,0
2021,S08000015,A101H,4,Return,35,5,12.5
2021,S08000015,A101H,1,Return,0,0,0
2021,S08000015,A101H,3,Return,10,5,33.33333333
2021,S08000015,A101H,4,Return,20,5,20
2022,S08000015,A101H,3,Return,10,0,0
2022,S08000015,A101H,4,Return,25,5,16.66666667
2022,S08000015,A101H,3,Return,20,0,0
2022,S08000015,A101H,4,Return,25,5,16.66666667
2022,S08000015,A101H,3,Return,15,0,0
2022,S08000015,A101H,4,Return,27,5,15.625
2022,S08000015,A101H,3,Return,10,5,33.33333333
2022,S08000015,A101H,4,Return,20,5,20
2022,S08000015,A101H,1,Return,0,0,0
2023,S08000015,A101H,3,Return,10,0,0
2023,S08000015,A101H,4,Return,15,5,25
2023,S08000015,A101H,3,Return,10,5,33.33333333
2023,S08000015,A101H,4,Return,15,0,0
2023,S08000015,A101H,3,Return,10,0,0
2023,S08000015,A101H,4,Return,20,5,20
2023,S08000015,A101H,3,Return,10,0,0
2023,S08000015,A101H,4,Return,20,5,20
2024,S08000015,A101H,3,Return,10,0,0
2024,S08000015,A101H,4,Return,15,0,0
2024,S08000015,A101H,3,Return,17,0,0
2024,S08000015,A101H,4,Return,24,0,0
2024,S08000015,A101H,3,Return,15,0,0
2024,S08000015,A101H,4,Return,15,0,0
2019,S08000015,S08000015,1,All,21922,3413,13.47148214
2019,S08000015,S08000015,2,All,16036,1726,9.71737417
2019,S08000015,S08000015,3,All,12334,988,7.416303858
2019,S08000015,S08000015,4,All,10161,672,6.203267793
2019,S08000015,S08000015,5,All,8222,405,4.694563579
2019,S08000015,S08000015,,All,24,5,17.24137931
2019,S08000015,S08000015,1,All,22764,3516,13.37899543
2019,S08000015,S08000015,2,All,16507,1769,9.67936091
2019,S08000015,S08000015,3,All,12656,1089,7.922881048
2019,S08000015,S08000015,4,All,10558,660,5.883401676
2019,S08000015,S08000015,5,All,8688,422,4.632272228
2019,S08000015,S08000015,,All,23,10,30.3030303
2020,S08000015,S08000015,1,All,20358,3076,13.12622685
2020,S08000015,S08000015,2,All,14934,1613,9.747990572
2020,S08000015,S08000015,3,All,11326,912,7.452198072
2020,S08000015,S08000015,4,All,9517,591,5.846853977
2020,S08000015,S08000015,5,All,7670,370,4.60199005
2020,S08000015,S08000015,,All,10,0,0
2020,S08000015,S08000015,1,All,9822,1250,11.28973988
2020,S08000015,S08000015,2,All,6533,607,8.50140056
2020,S08000015,S08000015,3,All,5022,331,6.183448534
2020,S08000015,S08000015,4,All,4158,212,4.851258581
2020,S08000015,S08000015,5,All,3397,129,3.658536585
2020,S08000015,S08000015,,All,5,0,0
2020,S08000015,S08000015,1,All,13696,1962,12.53033593
2020,S08000015,S08000015,2,All,9734,1070,9.903739356
2020,S08000015,S08000015,3,All,7430,591,7.368158584
2020,S08000015,S08000015,4,All,6048,393,6.101537028
2020,S08000015,S08000015,5,All,4848,256,5.015673981
2020,S08000015,S08000015,,All,13,5,27.77777778
2020,S08000015,S08000015,1,All,15239,2314,13.18293169
2020,S08000015,S08000015,2,All,11173,1314,10.52294386
2020,S08000015,S08000015,3,All,8735,788,8.27470335
