Year,HBT,SubGroup,NumberOfDeaths,NumberOfPatients,CrudeRate
2016,S92000003,All Admissions,6159,229272,2.686328902
2016,S08000015,All Admissions,462,16554,2.790866256
2016,S08000016,All Admissions,140,4150,3.373493976
2016,S08000017,All Admissions,179,7314,2.447361225
2016,S08000019,All Admissions,304,8567,3.548500058
2016,S08000020,All Admissions,550,21625,2.543352601
2016,S08000022,All Admissions,304,10173,2.988302369
2016,S08000024,All Admissions,845,29757,2.839667977
2016,S08000025,All Admissions,26,767,3.389830508
2016,S08000026,All Admissions,20,908,2.202643172
2016,S08000028,All Admissions,26,1246,2.086677368
2016,S08000029,All Admissions,404,11458,3.525920754
2016,S08000030,All Admissions,543,16078,3.377285732
2016,S08000031,All Admissions,1486,68805,2.159726764
2016,S08000032,All Admissions,682,25950,2.628131021
2016,SB0801,All Admissions,29,5048,0.574484945
2016,S92000003,All Admissions,7114,231293,3.075752401
2016,S08000015,All Admissions,559,16972,3.293660146
2016,S08000016,All Admissions,156,4398,3.547066849
2016,S08000017,All Admissions,253,7203,3.512425378
2016,S08000019,All Admissions,365,8899,4.101584448
2016,S08000020,All Admissions,588,21888,2.686403509
2016,S08000022,All Admissions,367,9720,3.775720165
2016,S08000024,All Admissions,922,30028,3.070467564
2016,S08000025,All Admissions,24,733,3.274215553
2016,S08000026,All Admissions,31,878,3.530751708
2016,S08000028,All Admissions,37,1223,3.025347506
2016,S08000029,All Admissions,475,11422,4.158641219
2016,S08000030,All Admissions,637,16764,3.799809115
2016,S08000031,All Admissions,1676,69215,2.421440439
2016,S08000032,All Admissions,844,26389,3.198302323
2016,SB0801,All Admissions,30,4901,0.612119976
2017,S92000003,All Admissions,7154,231392,3.091723136
2017,S08000015,All Admissions,546,17144,3.184787681
2017,S08000016,All Admissions,166,4103,4.045820132
2017,S08000017,All Admissions,253,7421,3.409244037
2017,S08000019,All Admissions,304,9208,3.301476977
2017,S08000020,All Admissions,652,21274,3.064773902
2017,S08000022,All Admissions,342,9733,3.513818966
2017,S08000024,All Admissions,914,30084,3.038159819
2017,S08000025,All Admissions,38,742,5.121293801
2017,S08000026,All Admissions,19,917,2.071973828
2017,S08000028,All Admissions,30,1270,2.362204724
2017,S08000029,All Admissions,482,11526,4.181849731
2017,S08000030,All Admissions,597,16572,3.602461984
2017,S08000031,All Admissions,1729,68137,2.537534673
2017,S08000032,All Admissions,868,26536,3.271028037
2017,SB0801,All Admissions,26,5134,0.506427737
2017,S92000003,All admissions,6367,227307,2.801057601
2017,S08000015,All admissions,451,16656,2.707732949
2017,S08000016,All admissions,151,4257,3.547098896
2017,S08000017,All admissions,199,7219,2.75661449
2017,S08000019,All admissions,300,9005,3.33148251
2017,S08000020,All admissions,584,21239,2.749658647
2017,S08000022,All admissions,315,9883,3.187291308
2017,S08000024,All admissions,817,30365,2.690597728
2017,S08000025,All admissions,33,742,4.447439353
2017,S08000026,All admissions,15,961,1.560874089
2017,S08000028,All admissions,26,1256,2.070063694
2017,S08000029,All admissions,433,11970,3.617376775
2017,S08000030,All admissions,572,16179,3.535447185
2017,S08000031,All admissions,1543,65039,2.3724227
2017,S08000032,All admissions,742,26439,2.806460154
2017,SB0801,All admissions,28,5007,0.559217096
2017,S92000003,All admissions,6258,225411,2.776262028
2017,S08000015,All admissions,470,16795,2.79845192
2017,S08000016,All admissions,128,4076,3.14033366
2017,S08000017,All admissions,211,6993,3.017303017
2017,S08000019,All admissions,296,8616,3.435468895
2017,S08000020,All admissions,570,20733,2.749240341
2017,S08000022,All admissions,363,10580,3.43100189
2017,S08000024,All admissions,870,30246,2.87641341
2017,S08000025,All admissions,19,705,2.695035461
2017,S08000026,All admissions,13,967,1.344364012
2017,S08000028,All admissions,27,1197,2.255639098
2017,S08000029,All admissions,378,11892,3.178607467
